content_id,url
ucob,https://ffxiv.consolegameswiki.com/wiki/The_Unending_Coil_of_Bahamut_(Ultimate)
ucob,https://finalfantasy.fandom.com/wiki/The_Unending_Coil_of_Bahamut
ucob,https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5248067/
ucob,https://na.finalfantasyxiv.com/lodestone/character/48995158/blog/5388500/
ucob,https://www.youtube.com/channel/UCRfzohN1djyZuQiDfalhXeg
ucob,https://www.youtube.com/playlist?list=PL2Hitw4uipFQGxLqqfHSCxwRO5svpC7Q9
ucob,https://www.youtube.com/playlist?list=PL2Hitw4uipFQt5qLdT6wi8BS2h_iUdOv2
ucob,https://asellog.com/bahamut-ultimate/
ucob,https://asellog.com/bahamut-p1/
ucob,https://asellog.com/bahamut-p2/
ucob,https://asellog.com/bahamut-p3tl3/
ucob,https://asellog.com/bahamut-p5/
ucob,https://na.finalfantasyxiv.com/lodestone/character/12440293/blog/5186770/
ucob,https://docs.google.com/spreadsheets/d/1pOQ3sMSUQx-E-zFJSFv5BbHIq27tASgH14WhM02k4NI/edit?usp=sharing
ucob,http://laytina14.com/archives/14617575.html
ucob,http://laytina14.com/archives/13711663.html
ucob,https://note.com/mimichoco_33/n/n1d5a37c5ff5a
ucob,https://www.nonbiri.blog/ultimate-bahamut/
ucob,https://www.tawakemonoga.com/archives/5043
ucob,https://blog.sheeva.me/entry/ucob-clear-report
ucob,https://note.com/jiojio1020/n/n23c45fbaeb3e
ucob,https://overpower.hateblo.jp/entry/2023/04/09/182139
ucob,https://note.com/moka_melon/n/n11039606e6c9
ucob,https://github.com/akitoki/FF14_docs/blob/master/%E7%B5%B6%E3%83%90%E3%83%8F_%E3%83%9E%E3%82%AF%E3%83%AD.txt
ucob,https://note.com/bright_murre577/n/nbd626a0969d9
ucob,https://www.icy-veins.com/ffxiv/the-unending-coil-of-bahamut-ultimate-guides-twintania
ucob,https://www.icy-veins.com/ffxiv/the-unending-coil-of-bahamut-ultimate-guides-nael-deus-darnus
ucob,https://www.icy-veins.com/ffxiv/the-unending-coil-of-bahamut-ultimate-guides-bahamut-prime
ucob,https://naurffxiv.com/ultimate/ucob
ucob,https://novacrystallis.com/2017/11/group-including-ex-lucrezia-players-claims-world-first-clear-unending-coil-bahamut-raid/
uwu,https://ffxiv.consolegameswiki.com/wiki/The_Weapon%27s_Refrain_(Ultimate)
uwu,https://jp.finalfantasyxiv.com/lodestone/character/34120564/blog/5248065/
uwu,https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5248065
uwu,https://asellog.com/uwu/
uwu,https://note.com/mozuzuzu/n/nd4fb5fff75ab
